Time,e_y,e_yaw,e_yawrate,e_beta
0,-7.57870211032241e-09,4.06005699178523e-10,0,0
0.01,-7.64067653591383e-09,4.10902022527653e-10,5.76002757302694e-10,-6.23842525808828e-11
0.02,-7.81385356418696e-09,4.14898957604267e-10,9.80968776739813e-10,-2.04815538976117e-10
0.03,-8.08301336974182e-09,4.16825321811944e-10,1.4050416895702e-09,-4.02098107123625e-10
0.04,-8.411068286307e-09,4.18075232328336e-10,1.88780566455371e-09,-6.27202712810042e-10
0.05,-8.76030359364677e-09,4.19506966405466e-10,2.39743998095047e-09,-8.60590949991955e-10
0.06,-9.08001762667254e-09,4.22895720643815e-10,2.8938754503658e-09,-1.0885966649994e-09
0.07,-9.33829458205082e-09,4.28884486119169e-10,3.34166156177204e-09,-1.30156624870229e-09
0.08,-9.50745526751007e-09,4.37408603300119e-10,3.71167105823826e-09,-1.49291294202831e-09
0.09,-9.57030010795279e-09,4.4944341935809e-10,3.98234048908014e-09,-1.65833291130582e-09
0.1,-9.51695255935192e-09,4.63747789076881e-10,4.13826422609306e-09,-1.79531650387806e-09
0.11,-9.35439992133524e-09,4.80720185471598e-10,4.16904622349133e-09,-1.90278779371525e-09
0.12,-9.08734687499191e-09,4.98391854422113e-10,4.07024355346148e-09,-1.98065162428064e-09
0.13,-8.73850236615681e-09,5.16932883433056e-10,3.84273309473982e-09,-2.02957408114622e-09
0.14,-8.32216162649502e-09,5.33855223530776e-10,3.49337286453518e-09,-2.0506945568437e-09
0.15,-7.86704568156438e-09,5.49421077759814e-10,3.03398308011444e-09,-2.04554461674698e-09
0.16,-7.39020133977419e-09,5.61085934525901e-10,2.48158039087497e-09,-2.01586036271199e-09
0.17,-6.91855817080977e-09,5.69359755256089e-10,1.85651476127636e-09,-1.96361437489796e-09
0.18,-6.46681463933874e-09,5.71870525714189e-10,1.1824361692063e-09,-1.89087301679329e-09
0.19,-6.05394578911955e-09,5.69677789061634e-10,4.84057087225155e-10,-1.7998757493046e-09
0.2,-5.68869662487259e-09,5.60897387073595e-10,-2.1297006213258e-10,-1.69290519294124e-09
0.21,-5.3784585674066e-09,5.47356421293374e-10,-8.84628422845459e-10,-1.5724033845279e-09
0.22,-5.1239226195321e-09,5.27723377227353e-10,-1.5084718444946e-09,-1.44083081897002e-09
0.23,-4.92312057787103e-09,5.04377079702605e-10,-2.06620662648634e-09,-1.30079755392296e-09
0.24,-4.77079886707088e-09,4.76449385273761e-10,-2.54284516792114e-09,-1.15487714636737e-09
0.25,-4.65912819436198e-09,4.46598609608683e-10,-2.92878708853389e-09,-1.00572323009032e-09
0.26,-4.57972237910553e-09,4.14186420795727e-10,-3.21826212370945e-09,-8.55858234035174e-10
0.27,-4.52270043638237e-09,3.81920150642764e-10,-3.41083634063773e-09,-7.07779094135888e-10
0.28,-4.47932446689947e-09,3.49153408663163e-10,-3.50935174334713e-09,-5.63743279529278e-10
0.29,-4.44041781122451e-09,3.18420244238551e-10,-3.52101148811483e-09,-4.25877380972783e-10
0.3,-4.39936975737965e-09,2.88933367642734e-10,-3.45503277051286e-09,-2.95975543378056e-10
0.31,-4.34941060944993e-09,2.62829595401649e-10,-3.32353110554042e-09,-1.75622249952048e-10
0.32,-4.28729673984662e-09,2.3916429150415e-10,-3.13909161753343e-09,-6.60124883125409e-11
0.33,-4.20900736486374e-09,2.19568119450309e-10,-2.9155436864817e-09,3.19095727859634e-11
0.34,-4.11531253519115e-09,2.02887168886303e-10,-2.66534915086492e-09,1.17623014932365e-10
0.35,-4.00372091036161e-09,1.90309929546275e-10,-2.4021529838565e-09,1.90794943712079e-10
0.36,-3.87931198275737e-09,1.80532970571474e-10,-2.1369581572604e-09,2.51492491747194e-10
0.37,-3.73945496789929e-09,1.74502486639606e-10,-1.86216621518476e-09,3.01287746111077e-10
0.38,-3.58672291866924e-09,1.71326226615467e-10,-1.62512493234528e-09,3.398779357545e-10
0.39,-3.42906236738827e-09,1.69888837498514e-10,-1.41344356123e-09,3.68948143047008e-10
0.4,-3.26239746328838e-09,1.70670959021885e-10,-1.22706960113106e-09,3.89806461023509e-10
0.41,-3.09903569473136e-09,1.7229827186419e-10,-1.06700397076231e-09,4.02816313210688e-10
0.42,-2.93186896982434e-09,1.75101758852017e-10,-9.35227662387842e-10,4.0810974833439e-10
0.43,-2.77354583744227e-09,1.77939866125305e-10,-8.31511674960005e-10,4.06102691957278e-10
0.44,-2.61381671862182e-09,1.81050732852375e-10,-7.54344007648792e-10,3.97413279655384e-10
0.45,-2.46564990646903e-09,1.83581450078475e-10,-7.00137343391785e-10,3.82896038105827e-10
0.46,-2.31634622593901e-09,1.85744493213995e-10,-6.65241805989539e-10,3.63418802308905e-10
0.47,-2.17909335020749e-09,1.86992027036265e-10,-6.45323231404436e-10,3.39905846393385e-10
0.48,-2.03958627764678e-09,1.87454854629148e-10,-6.36912741028912e-10,3.13186593034019e-10
0.49,-1.91135818283783e-09,1.86895774042467e-10,-6.36400637091418e-10,2.84086891340025e-10
0.5,-1.77920167487855e-09,1.85386326181654e-10,-6.41165712258024e-10,2.53322140089328e-10
0.51,-1.6572583305674e-09,1.82929576971382e-10,-6.48597404265585e-10,2.21587091497675e-10
0.52,-1.52998325120279e-09,1.79526470938004e-10,-6.57012477266588e-10,1.89468660034557e-10
0.53,-1.41240796835973e-09,1.75306036672304e-10,-6.647661795567e-10,1.57527070802127e-10
0.54,-1.28891031181411e-09,1.70220610929464e-10,-6.70984290821652e-10,1.26223964547868e-10
0.55,-1.17533360821653e-09,1.6454054409886e-10,-6.74741897115143e-10,9.59967090345619e-11
0.56,-1.05613118250858e-09,1.58139875430933e-10,-6.75763158517875e-10,6.71900633301559e-11
0.57,-9.47858680433455e-10,1.51320296982712e-10,-6.73663694267544e-10,4.01240736402828e-11
0.58,-8.34921465298066e-10,1.43927356567462e-10,-6.68798769822343e-10,1.50283614857233e-11
0.59,-7.34364569154877e-10,1.36293573711641e-10,-6.61083865983352e-10,-7.88375328712682e-12
0.6,-6.30389074274262e-10,1.28228853192918e-10,-6.50239571174159e-10,-2.8446055164761e-11
0.61,-5.40354427869261e-10,1.20084093782252e-10,-6.36184984455471e-10,-4.65347914889755e-11
0.62,-4.48020287535655e-10,1.1167009947716e-10,-6.19142794258875e-10,-6.20982447458655e-11
0.63,-3.70490305101612e-10,1.03325103018871e-10,-5.95187361670423e-10,-7.47163575069489e-11
0.64,-2.91280777275915e-10,9.48321195940236e-11,-5.75164378363461e-10,-8.48850215286904e-11
0.65,-2.27635688077044e-10,8.65066184346066e-11,-5.51621932505205e-10,-9.22789361603123e-11
0.66,-1.62680535709114e-10,7.81382453220421e-11,-5.2316332169057e-10,-9.69834822430633e-11
0.67,-1.04709130255287e-10,6.99386909907262e-11,-4.90436819147505e-10,-9.92317535014437e-11
0.68,-6.21209750306662e-11,6.2048976795383e-11,-4.54408589236921e-10,-9.93291669700439e-11
0.69,-1.7255530337934e-11,5.43433602215095e-11,-4.1564873200047e-10,-9.74224545890727e-11
0.7,1.35331745809708e-11,4.70515693634699e-11,-3.7495556454324e-10,-9.37671899953104e-11
0.71,4.77982098345819e-11,4.00129340160089e-11,-3.34027516378831e-10,-8.86003826514487e-11
0.72,6.96545043865626e-11,3.34584403147864e-11,-2.92566882064442e-10,-8.21952217795419e-11
0.73,9.62936397286285e-11,2.71813331560628e-11,-2.50457600847382e-10,-7.4867361472891e-11
0.74,1.12326148382635e-10,2.14588354027718e-11,-2.0745850321194e-10,-6.6883762020883e-11
0.75,1.34316557875991e-10,1.6052269279224e-11,-1.6391534712331e-10,-5.85166949471315e-11
0.76,1.47293732766229e-10,1.12328467956397e-11,-1.20062725062193e-10,-4.99810141162858e-11
0.77,1.67001523720955e-10,6.74757269476303e-12,-7.65400583968396e-11,-4.14898333600941e-11
0.78,1.7889334458232e-10,2.87375318244714e-12,-3.37491562769164e-11,-3.31998519015588e-11
0.79,1.97934113543852e-10,-7.04013100066925e-13,7.61614472366632e-12,-2.52661176420005e-11
0.8,2.09930739458741e-10,-3.70281857100017e-12,4.71624557119534e-11,-1.7791093169388e-11
0.81,2.29139374141596e-10,-6.44761619525325e-12,8.43188845121983e-11,-1.0873414742131e-11
0.82,2.4174351409556e-10,-8.65594989929084e-12,1.18822077296464e-10,-4.56546812744061e-12
0.83,2.61403343415623e-10,-1.06747299964806e-11,1.50885781639522e-10,1.10264192302764e-12
0.84,2.74615885587082e-10,-1.22150706962789e-11,1.79743279782607e-10,6.09373317422856e-12
0.85,2.94533286648857e-10,-1.36594294029119e-11,2.05085206495643e-10,1.03881157549044e-11
0.86,3.08100212009776e-10,-1.46897009664116e-11,2.26992818578165e-10,1.40074961862688e-11
0.87,3.27931459764841e-10,-1.5706934833232e-11,2.45441609271106e-10,1.69679706678235e-11
0.88,3.41361605649126e-10,-1.63822639776351e-11,2.60647614366208e-10,1.93111728113617e-11
0.89,3.60683927169703e-10,-1.71145672417714e-11,2.72729739563907e-10,2.10713620612864e-11
0.9,3.73650443918905e-10,-1.75705671651385e-11,2.82006248031217e-10,2.2302550611527e-11
0.91,3.92084587019781e-10,-1.81446338914172e-11,2.88679249186001e-10,2.3048119563716e-11
0.92,4.04199340664491e-10,-1.84977948733236e-11,2.93118649048415e-10,2.33669112949354e-11
0.93,4.21516155313384e-10,-1.89789864899996e-11,2.9612592744551e-10,2.33588947162784e-11
0.94,4.3257397663865e-10,-1.93007429480179e-11,2.9654476735428e-10,2.30171404877522e-11
0.95,4.48564740906932e-10,-1.97788022719437e-11,2.95558235172993e-10,2.24281756905081e-11
0.96,4.58448390361355e-10,-2.01396487094787e-11,2.93889776072528e-10,2.16520640621769e-11
0.97,4.73105110643246e-10,-2.0650027627105e-11,2.91654209603484e-10,2.07062979218331e-11
0.98,4.87066387222512e-10,-2.11740948224409e-11,2.88970627321301e-10,1.961630122511e-11
0.99,4.9524739864637e-10,-2.15867601578471e-11,2.85733848717494e-10,1.83910935744557e-11
1,5.07887953915542e-10,-2.2147628361834e-11,2.82117427193017e-10,1.70596871742462e-11
1.01,5.15011144841537e-10,-2.25901619515362e-11,2.78444786384562e-10,1.56644321256561e-11
1.02,5.26345189655331e-10,-2.31794698446529e-11,2.74664441570718e-10,1.42265573825677e-11
1.03,5.32435429079214e-10,-2.36650022067886e-11,2.7083830238075e-10,1.27775651590215e-11
1.04,5.42573097561672e-10,-2.4267675989977e-11,2.67006551753309e-10,1.13302095152091e-11
1.05,5.47719203325414e-10,-2.4743173321924e-11,2.63343631003765e-10,9.90357883555997e-12
1.06,5.56622303804488e-10,-2.53561733849771e-11,2.59840718216474e-10,8.50143065830666e-12
1.07,5.60759438883451e-10,-2.58149864487361e-11,2.56585898628336e-10,7.14000846214383e-12
1.08,5.68379121546059e-10,-2.63950432115048e-11,2.5352886250437e-10,5.82587203603971e-12
1.09,5.71390046388842e-10,-2.68370180552212e-11,2.50684019288744e-10,4.57294034808491e-12
1.1,5.77677461421899e-10,-2.73674286114696e-11,2.47989235535546e-10,3.38745899037304e-12
1.11,5.79515102572259e-10,-2.7767291089612e-11,2.45459820938048e-10,2.28248632235579e-12
1.12,5.84360115851723e-10,-2.82509950104073e-11,2.43017834248083e-10,1.26085740126037e-12
1.13,5.84958748106601e-10,-2.85944943373285e-11,2.40691842296801e-10,3.33714093104669e-13
1.14,5.88413762159234e-10,-2.90100181300684e-11,2.38416157148852e-10,-4.98172037321709e-13
1.15,5.87854209754823e-10,-2.92846462385404e-11,2.36206661739245e-10,-1.22800907912551e-12
1.16,5.89955639895834e-10,-2.96300421123938e-11,2.33996120601557e-10,-1.85842014203655e-12
1.17,5.88268989076823e-10,-2.98429885781336e-11,2.31803224774033e-10,-2.38579155374415e-12
1.18,5.89160720210202e-10,-3.01093656103379e-11,2.29582086579648e-10,-2.81441835897873e-12
1.19,5.86523718482113e-10,-3.0251572084424e-11,2.27353728509802e-10,-3.14358760735612e-12
1.2,5.86343418262913e-10,-3.04660340386435e-11,2.25182168965466e-10,-3.37196457146396e-12
1.21,5.82923043168648e-10,-3.05375351726804e-11,2.22803115682932e-10,-3.51113560941278e-12
1.22,5.81898973450734e-10,-3.06677047244337e-11,2.20349260998406e-10,-3.56209521470943e-12
1.23,5.7785420892742e-10,-3.06898171364049e-11,2.17915114239994e-10,-3.52757485471135e-12
1.24,5.76234171489887e-10,-3.07467862017858e-11,2.15456532557213e-10,-3.42147812389341e-12
1.25,5.71824365636076e-10,-3.07106468458055e-11,2.12963088200259e-10,-3.25347970689492e-12
1.26,5.69730929100842e-10,-3.07137878729075e-11,2.10365286457536e-10,-3.03925662975104e-12
1.27,5.67434099707498e-10,-3.06922786499493e-11,2.07689046568046e-10,-2.78580469714469e-12
1.28,5.62697444195237e-10,-3.05661559629183e-11,2.0486636010964e-10,-2.50747665775499e-12
1.29,5.60147483952278e-10,-3.04977823021399e-11,2.01922532052136e-10,-2.21137285538284e-12
1.3,5.55358425913255e-10,-3.03311479884385e-11,1.98889264133036e-10,-1.90269670645161e-12
1.31,5.5264948173317e-10,-3.02293380030883e-11,1.9575619841042e-10,-1.59090017510187e-12
1.32,5.47883516333059e-10,-3.00255786785736e-11,1.92558319860842e-10,-1.28096308823536e-12
1.33,5.45108846949915e-10,-2.98938660892642e-11,1.89290167644611e-10,-9.8051476733986e-13
1.34,5.40394395898147e-10,-2.9673081220953e-11,1.85973428692231e-10,-6.93509651498818e-13
1.35,5.37565547631402e-10,-2.95052186836685e-11,1.82610819675592e-10,-4.24640566930903e-13
1.36,5.3292215085321e-10,-2.92689504223797e-11,1.79218396115035e-10,-1.75937235132786e-13
1.37,5.3005067002232e-10,-2.908445603588e-11,1.75785408240313e-10,4.87033875453855e-14
1.38,5.25499643799776e-10,-2.88337560353297e-11,1.72340629087626e-10,2.4984964129297e-13
1.39,5.22594412188937e-10,-2.86339036112416e-11,1.68873579614848e-10,4.25113980435366e-13
1.4,5.18098453028415e-10,-2.83691615900175e-11,1.65406040254651e-10,5.75728282102815e-13
1.41,5.15112397181383e-10,-2.81634865645081e-11,1.61927303718246e-10,7.00429657742012e-13
1.42,5.10674169618142e-10,-2.78935034846561e-11,1.58460421863042e-10,8.01349010251454e-13
1.43,5.0762682946015e-10,-2.76821614445026e-11,1.55004374792351e-10,8.78804567454164e-13
1.44,5.0318416100481e-10,-2.74150811228772e-11,1.51575191811825e-10,9.34941453864552e-13
1.45,5.00084418320057e-10,-2.71798026013879e-11,1.48176312881048e-10,9.70842044928505e-13
