Time,e_y,e_yaw,e_yawrate,e_beta
0,-7.57870211032241e-09,4.06005699178523e-10,0,0
0.01,-7.64067475955699e-09,4.10903540952841e-10,5.76486035531663e-10,-6.23533573895753e-11
0.02,-7.81385178783012e-09,4.14901902174839e-10,9.82340926635068e-10,-2.04751735815445e-10
0.03,-8.08298583621081e-09,4.16844453477287e-10,1.40413072630279e-09,-4.02121861019301e-10
0.04,-8.41114911054319e-09,4.17997265094085e-10,1.86586627764356e-09,-6.28485624894881e-10
0.05,-8.76092798307582e-09,4.19000373602122e-10,2.33262969239557e-09,-8.64371087201978e-10
0.06,-9.08188457771075e-09,4.21438699101695e-10,2.77059252152922e-09,-1.09549086538529e-09
0.07,-9.34225852233794e-09,4.25850653613338e-10,3.15465922039372e-09,-1.31139749105814e-09
0.08,-9.51437062468585e-09,4.32186414052354e-10,3.46809442372136e-09,-1.50470820286287e-09
0.09,-9.58087476021774e-09,4.4155498271504e-10,3.70041352141937e-09,-1.67055644295973e-09
0.1,-9.53162881955905e-09,4.52948161688556e-10,3.84538132302205e-09,-1.80611486461086e-09
0.11,-9.37325861372074e-09,4.67079659923529e-10,3.89937265582789e-09,-1.91019832252694e-09
0.12,-9.11005049175628e-09,4.82341613582689e-10,3.86100515789291e-09,-1.98287637992138e-09
0.13,-8.76427019846915e-09,4.99280158508507e-10,3.73092161166696e-09,-2.02515722807779e-09
0.14,-8.34979285713189e-09,5.1575841939537e-10,3.51213206813164e-09,-2.03870559100808e-09
0.15,-7.89495402386819e-09,5.32339312855953e-10,3.20996914326784e-09,-2.02564180700594e-09
0.16,-7.41650119095993e-09,5.46696187199827e-10,2.8323949318039e-09,-1.98836085939212e-09
0.17,-6.94114454802275e-09,5.5946307301303e-10,2.38962976350593e-09,-1.92942745406527e-09
0.18,-6.48346798470811e-09,5.68280566977073e-10,1.8941454536802e-09,-1.85147063156164e-09
0.19,-6.06243499845505e-09,5.74114788319353e-10,1.35996493970277e-09,-1.75713955097627e-09
0.2,-5.68687497093379e-09,5.74878352582747e-10,8.02449456314838e-10,-1.64903983791488e-09
0.21,-5.36435873499386e-09,5.72106936070927e-10,2.3733173701166e-10,-1.5297277738985e-09
0.22,-5.09583397700908e-09,5.64098001183824e-10,-3.1961722813065e-10,-1.40167076011208e-09
0.23,-4.87963802697777e-09,5.52814216638907e-10,-8.5369328149299e-10,-1.26726346846419e-09
0.24,-4.71086725184477e-09,5.36940946009983e-10,-1.35150914357132e-09,-1.12879445590344e-09
0.25,-4.58204318931621e-09,5.18696549545981e-10,-1.80191562314818e-09,-9.88460961826549e-10
0.26,-4.48513581829957e-09,4.97022102137041e-10,-2.19597956409109e-09,-8.48329906629114e-10
0.27,-4.4105892271773e-09,4.74255314767446e-10,-2.52758646653846e-09,-7.10345589894694e-10
0.28,-4.34995861553489e-09,4.4943663509738e-10,-2.79310237698153e-09,-5.76285825414695e-10
0.29,-4.29432311932487e-09,4.24865992054277e-10,-2.99167320187268e-09,-4.47766841361943e-10
0.3,-4.2372692021786e-09,3.99597048964761e-10,-3.12463028226025e-09,-3.26200433998038e-10
0.31,-4.17217460579877e-09,3.75695380825044e-10,-3.19556846007928e-09,-2.12802046424785e-10
0.32,-4.09590317218544e-09,3.52220193545926e-10,-3.20960539579762e-09,-1.08555284293176e-10
0.33,-4.00448207926729e-09,3.30884737313791e-10,-3.17332439331348e-09,-1.4226418540213e-11
0.34,-3.89869914130259e-09,3.10675131816439e-10,-3.09359668659017e-09,6.96728975484703e-11
0.35,-3.77603903700674e-09,2.92983547673574e-10,-2.97855381887287e-09,1.42826951875365e-10
0.36,-3.64153329712735e-09,2.76743724351381e-10,-2.83634095167194e-09,2.05139294449384e-10
0.37,-3.49247031294908e-09,2.63176452360134e-10,-2.65576996822729e-09,2.58117445935459e-10
0.38,-3.33133165497657e-09,2.51665943037147e-10,-2.48614431601472e-09,3.01153932419453e-10
0.39,-3.16595549776366e-09,2.4137678689436e-10,-2.3132701916969e-09,3.3580525843212e-10
0.4,-2.99214431009887e-09,2.33067883788759e-10,-2.13894268838946e-09,3.6306967163309e-10
0.41,-2.82210965707463e-09,2.25617426616659e-10,-1.96670872463959e-09,3.82939914687114e-10
0.42,-2.64865462895614e-09,2.19586612529308e-10,-1.80127085228211e-09,3.9523777093051e-10
0.43,-2.4843727075563e-09,2.14026307275836e-10,-1.64625915226868e-09,4.00037624938495e-10
0.44,-2.31897434588291e-09,2.09333317048516e-10,-1.50379840399799e-09,3.97714227583373e-10
0.45,-2.16541273800885e-09,2.04770160036438e-10,-1.37444234485055e-09,3.88883610299275e-10
0.46,-2.01098337981875e-09,2.00630627193561e-10,-1.25798394152633e-09,3.74286662675683e-10
0.47,-1.86889614894881e-09,1.9640940795368e-10,-1.1536551374301e-09,3.54731274223981e-10
0.48,-1.72485314919868e-09,1.92252335727485e-10,-1.06066540525849e-09,3.31031276932606e-10
0.49,-1.59241508868035e-09,1.87907272830808e-10,-9.7808460412616e-10,3.03996398937417e-10
0.5,-1.45638878734644e-09,1.83411669893697e-10,-9.05101810631216e-10,2.74404315450961e-10
0.51,-1.33093891463432e-09,1.78714111407354e-10,-8.408403409687e-10,2.43002543341777e-10
0.52,-1.20052945362659e-09,1.73750580668417e-10,-7.84564459702583e-10,2.10488231142315e-10
0.53,-1.08020525857455e-09,1.6857367759021e-10,-7.35518333388364e-10,1.77511976176742e-10
0.54,-9.54345047432525e-10,1.63056167456757e-10,-6.93095565775065e-10,1.44662712054009e-10
0.55,-8.38785929602182e-10,1.57383837507641e-10,-6.5666687904526e-10,1.12474904223428e-10
0.56,-7.17975012776151e-10,1.51348205423002e-10,-6.25724445594384e-10,8.14170443746168e-11
0.57,-6.08451955486089e-10,1.45168457588759e-10,-5.99727388135725e-10,5.18994291037944e-11
0.58,-4.94604357470507e-10,1.38613929030237e-10,-5.78217843633532e-10,2.42661445702813e-11
0.59,-3.93455046321378e-10,1.31943980836504e-10,-5.61349455801033e-10,-1.21922456659553e-12
0.6,-2.89189117097521e-10,1.24899094768316e-10,-5.47838594553914e-10,-2.4301650366978e-11
0.61,-1.99147365265162e-10,1.17767107130745e-10,-5.37097241872679e-10,-4.48078160606411e-11
0.62,-1.07065467602752e-10,1.10304174502139e-10,-5.28571184951383e-10,-6.26255981724002e-11
0.63,-3.00293123700612e-11,1.02800660975799e-10,-5.17511050757401e-10,-7.72833904840917e-11
0.64,4.84590145788388e-11,9.49962765467649e-11,-5.14585965358722e-10,-8.92650052057e-11
0.65,1.11176845507543e-10,8.71706000483383e-11,-5.11204142843015e-10,-9.82104890650312e-11
0.66,1.75004011282454e-10,7.90877985787871e-11,-5.05196591311976e-10,-1.04192867020183e-10
0.67,2.31660024496705e-10,7.09386418557427e-11,-4.96666294179849e-10,-1.07459072235725e-10
0.68,2.72749822727292e-10,6.28523281939925e-11,-4.85637624576038e-10,-1.08297774861869e-10
0.69,3.15930392957853e-10,5.46979242311735e-11,-4.72289290562199e-10,-1.06880174740016e-10
0.7,3.44853035016968e-10,4.67022405254588e-11,-4.5697351983356e-10,-1.03492410386591e-10
0.71,3.77058384515294e-10,3.87102321050205e-11,-4.40625346269978e-10,-9.83695260851759e-11
0.72,3.96654264989138e-10,3.09622041872912e-11,-4.22518830119813e-10,-9.18154655329884e-11
0.73,4.20827817038116e-10,2.32682033214964e-11,-4.01902528826385e-10,-8.41501386557396e-11
0.74,4.34182467756727e-10,1.59248112871329e-11,-3.7822472506851e-10,-7.5672498275331e-11
0.75,4.53272974709762e-10,8.71888338680793e-12,-3.51307445622513e-10,-6.66592899587904e-11
0.76,4.63118432492138e-10,1.94896659246743e-12,-3.21161937161012e-10,-5.73547251233905e-11
0.77,4.79468020841978e-10,-4.60574943788581e-12,-2.88050248032301e-10,-4.79785087069237e-11
0.78,4.87769824530915e-10,-1.06353942438645e-11,-2.52306990362875e-10,-3.8718706555133e-11
0.79,5.02994979001414e-10,-1.64197498122861e-11,-2.14420812852491e-10,-2.97400464165485e-11
0.8,5.10949504928249e-10,-2.16414232943566e-11,-1.74888689934167e-10,-2.11778183298918e-11
0.81,5.25901100445481e-10,-2.65899627679336e-11,-1.34287570406863e-10,-1.31448724206974e-11
0.82,5.34042143840452e-10,-3.09504022528129e-11,-9.31491969030254e-11,-5.72659413330588e-12
0.83,5.49039036457089e-10,-3.50406212277494e-11,-5.18240650631637e-11,1.01739597331613e-12
0.84,5.57407453527503e-10,-3.85422915192698e-11,-1.05740643093151e-11,7.05815812093823e-12
0.85,5.72311087410071e-10,-4.18104018873756e-11,2.95567557525088e-11,1.23428275387036e-11
0.86,5.80706149833077e-10,-4.45059705960991e-11,6.81781081512666e-11,1.6867913968026e-11
0.87,5.95229643352013e-10,-4.70121772773033e-11,1.04917054846588e-10,2.06416491926144e-11
0.88,6.03226801842993e-10,-4.8987548676831e-11,1.39497101304769e-10,2.3686989346015e-11
0.89,6.1700866638148e-10,-5.08216466215037e-11,1.71674568527545e-10,2.60357789852909e-11
0.9,6.24344131949783e-10,-5.21769941191855e-11,2.01300707398775e-10,2.77306480384951e-11
0.91,6.37072616882506e-10,-5.34467767065797e-11,2.28254195624392e-10,2.88190837064026e-11
0.92,6.43421316226522e-10,-5.42953748480443e-11,2.52496975960189e-10,2.93552857596998e-11
0.93,6.54925003118478e-10,-5.50781225301151e-11,2.74486802383814e-10,2.94410214686631e-11
0.94,6.60135945906859e-10,-5.55166599120441e-11,2.92962770206144e-10,2.90788805821884e-11
0.95,6.7026295624828e-10,-5.59369497755689e-11,3.08841177711387e-10,2.83646644476649e-11
0.96,6.74273969991646e-10,-5.60796659132898e-11,3.22536083024119e-10,2.73591689315278e-11
0.97,6.83063383632998e-10,-5.62266231931946e-11,3.34083030092789e-10,2.60990893402827e-11
0.98,6.9117245260486e-10,-5.62589600424951e-11,3.4348267365426e-10,2.46197910247819e-11
0.99,6.93527013595485e-10,-5.60677105764464e-11,3.50750845720394e-10,2.29571647979919e-11
1,7.00381086460311e-10,-5.59284864200538e-11,3.55975141259644e-10,2.11494709780651e-11
1.01,7.01765756616624e-10,-5.55924206197288e-11,3.59390685806918e-10,1.92429712315295e-11
1.02,7.07419012258015e-10,-5.53407199497156e-11,3.61123417622964e-10,1.72773928778306e-11
1.03,7.07890634998876e-10,-5.49385387836202e-11,3.6132869439468e-10,1.52902997404376e-11
1.04,7.12482517428725e-10,-5.46203912711608e-11,3.60191698166036e-10,1.33111896875088e-11
1.05,7.12161885019214e-10,-5.41554866085856e-11,3.57932361323051e-10,1.13665142431712e-11
1.06,7.15686176988584e-10,-5.38201104728727e-11,3.54716165538566e-10,9.47775497630733e-12
1.07,7.14535097756652e-10,-5.33336559892197e-11,3.50702571705868e-10,7.66538614095536e-12
1.08,7.16966930269791e-10,-5.29808195393413e-11,3.46014167987144e-10,5.94673780732405e-12
1.09,7.1489747455189e-10,-5.25106401745447e-11,3.40774942813734e-10,4.33755624545033e-12
1.1,7.16214643148305e-10,-5.21561209501928e-11,3.35082188299068e-10,2.84989164228432e-12
1.11,7.13195724699744e-10,-5.170407667448e-11,3.29046884738916e-10,1.49446339187495e-12
1.12,7.13305858823787e-10,-5.13727965773555e-11,3.22750345768932e-10,2.77886820451153e-13
1.13,7.09290404188323e-10,-5.09416180831978e-11,3.16288365454562e-10,-7.9448151712815e-13
1.14,7.08253899972533e-10,-5.06245763414761e-11,3.09732556736509e-10,-1.72080841290601e-12
1.15,7.03325397921617e-10,-5.0210080170133e-11,3.03163007848247e-10,-2.50067305203193e-12
1.16,7.01186664286979e-10,-4.99096877952275e-11,2.96632589450471e-10,-3.13705069155072e-12
1.17,6.9537975377898e-10,-4.95197576846876e-11,2.90201357431639e-10,-3.63399808954083e-12
1.18,6.92275570202128e-10,-4.92246666099067e-11,2.83908020789348e-10,-3.9981433808226e-12
1.19,6.85759893315208e-10,-4.8845232051535e-11,2.77799605532392e-10,-4.23662952850232e-12
1.2,6.81820822023838e-10,-4.85754632317185e-11,2.71982217943681e-10,-4.35241838321648e-12
1.21,6.74754474516703e-10,-4.81976821520449e-11,2.66262039625582e-10,-4.36335294200472e-12
1.22,6.70194566509963e-10,-4.79101538454989e-11,2.60784438113092e-10,-4.27480636452978e-12
1.23,6.62719656929767e-10,-4.75432576147435e-11,2.55625598996147e-10,-4.09651425659021e-12
1.24,6.57768062239938e-10,-4.72366033301778e-11,2.50765088244016e-10,-3.84416459545894e-12
1.25,6.50124398759999e-10,-4.68592782090748e-11,2.46181503680461e-10,-3.53267224489734e-12
1.26,6.44889475154287e-10,-4.65401362002657e-11,2.41837656262875e-10,-3.17706158280183e-12
1.27,6.39537311997174e-10,-4.62122340689e-11,2.37718288916167e-10,-2.78999900832489e-12
1.28,6.31831476027855e-10,-4.57922538292881e-11,2.33795162528626e-10,-2.38373960177803e-12
1.29,6.26394935920871e-10,-4.54393476926329e-11,2.30039371844603e-10,-1.96947997906677e-12
1.3,6.18790352291398e-10,-4.49951318503249e-11,2.26421121874908e-10,-1.55731034241092e-12
1.31,6.13340489508118e-10,-4.46202037741292e-11,2.22938283344454e-10,-1.15577781094809e-12
1.32,6.0590110706471e-10,-4.41457418385806e-11,2.1959159095982e-10,-7.72503898785547e-13
1.33,6.00514304949229e-10,-4.37437420399859e-11,2.16359502242314e-10,-4.13441822346515e-13
1.34,5.93249893654502e-10,-4.32515428663807e-11,2.13218990894145e-10,-8.2800497075807e-14
1.35,5.87935922169436e-10,-4.28098296428111e-11,2.1014343240947e-10,2.16267493752467e-13
1.36,5.80863357413364e-10,-4.22964587397475e-11,2.07113492228853e-10,4.82003660576774e-13
1.37,5.75617775666615e-10,-4.18308270788212e-11,2.04102926064157e-10,7.12941475474854e-13
1.38,5.68753044660752e-10,-4.12947035336345e-11,2.0109747623052e-10,9.08999296718485e-13
1.39,5.63581181722839e-10,-4.08049222067648e-11,1.98078428873837e-10,1.0703851197014e-12
1.4,5.56874546475683e-10,-4.02459294258654e-11,1.95035571049142e-10,1.19824887307775e-12
1.41,5.5173021706878e-10,-3.9741851037085e-11,1.91954839504037e-10,1.29384313804383e-12
1.42,5.45187006650849e-10,-3.91698035507737e-11,1.88829978544349e-10,1.35914282776374e-12
1.43,5.40085309808092e-10,-3.86532770794592e-11,1.85654978089096e-10,1.39633485079968e-12
1.44,5.33640687194747e-10,-3.8078640789898e-11,1.82429040186831e-10,1.40799679720845e-12
1.45,5.28588728343493e-10,-3.75341896349105e-11,1.79151073113355e-10,1.39672520459207e-12
1.46,5.22309306916213e-10,-3.69498527470927e-11,1.75825428311048e-10,1.36542106239658e-12
1.47,5.17270670741254e-10,-3.64151216495324e-11,1.72455146133121e-10,1.31625216113498e-12
1.48,5.11062303587551e-10,-3.58313437064689e-11,1.69064251094572e-10,1.25682390283025e-12
1.49,5.06043207337825e-10,-3.52994155595854e-11,1.65555741506746e-10,1.18391665091463e-12
